cohort_month,cohort_index,unique_customers
2017-07-01 00:00:00,0,3752
2017-04-01 00:00:00,0,2256
2017-11-01 00:00:00,1,40
2017-05-01 00:00:00,1,16
2017-10-01 00:00:00,1,31
2017-06-01 00:00:00,5,12
2017-12-01 00:00:00,4,14
2017-02-01 00:00:00,9,3
2018-06-01 00:00:00,2,16
2018-02-01 00:00:00,5,14
2017-09-01 00:00:00,1,28
2018-03-01 00:00:00,3,20
2018-01-01 00:00:00,4,20
2017-07-01 00:00:00,11,11
2017-06-01 00:00:00,14,7
2017-08-01 00:00:00,2,14
2017-03-01 00:00:00,1,11
2017-08-01 00:00:00,10,10
2017-04-01 00:00:00,16,3
2017-02-01 00:00:00,5,2
2017-06-01 00:00:00,9,6
2017-01-01 00:00:00,7,1
2017-01-01 00:00:00,19,1
2017-01-01 00:00:00,13,3
2017-04-01 00:00:00,15,2
2017-02-01 00:00:00,17,3
2016-12-01 00:00:00,0,1
2017-04-01 00:00:00,11,2
2017-02-01 00:00:00,14,2
2017-01-01 00:00:00,8,1
2018-02-01 00:00:00,0,6288
2018-07-01 00:00:00,0,5949
2017-02-01 00:00:00,0,1628
2017-06-01 00:00:00,0,3037
2017-02-01 00:00:00,11,5
2017-11-01 00:00:00,7,13
2018-01-01 00:00:00,3,20
2017-12-01 00:00:00,3,18
2017-03-01 00:00:00,8,8
2017-09-01 00:00:00,7,10
2017-05-01 00:00:00,8,9
2017-04-01 00:00:00,5,6
2017-10-01 00:00:00,7,16
2018-03-01 00:00:00,4,8
2017-05-01 00:00:00,13,1
2017-12-01 00:00:00,6,9
2017-04-01 00:00:00,9,4
2018-01-01 00:00:00,6,12
2018-05-01 00:00:00,3,12
2017-03-01 00:00:00,7,8
2017-05-01 00:00:00,7,5
2017-09-01 00:00:00,8,11
2018-04-01 00:00:00,2,20
2017-01-01 00:00:00,1,2
2017-10-01 00:00:00,8,12
2017-11-01 00:00:00,8,9
2017-04-01 00:00:00,14,2
2017-07-01 00:00:00,5,8
2017-06-01 00:00:00,11,11
2017-07-01 00:00:00,9,10
2017-02-01 00:00:00,15,1
2017-03-01 00:00:00,13,3
2017-02-01 00:00:00,16,1
2018-04-01 00:00:00,0,6582
2017-08-01 00:00:00,5,21
2017-09-01 00:00:00,3,11
2017-10-01 00:00:00,6,9
2018-03-01 00:00:00,1,27
2018-02-01 00:00:00,2,25
2017-09-01 00:00:00,6,9
2017-05-01 00:00:00,12,8
2017-11-01 00:00:00,3,12
2017-01-01 00:00:00,4,3
2017-11-01 00:00:00,6,8
2017-05-01 00:00:00,6,14
2017-10-01 00:00:00,3,4
2018-01-01 00:00:00,7,16
2017-02-01 00:00:00,2,5
2017-08-01 00:00:00,9,6
2017-03-01 00:00:00,3,10
2017-05-01 00:00:00,3,10
2017-12-01 00:00:00,8,10
2017-06-01 00:00:00,10,9
2017-06-01 00:00:00,2,12
2017-03-01 00:00:00,12,5
2017-02-01 00:00:00,10,2
2017-03-01 00:00:00,6,4
2016-10-01 00:00:00,9,1
2017-12-01 00:00:00,7,1
2016-10-01 00:00:00,17,1
2017-01-01 00:00:00,0,717
2017-11-01 00:00:00,5,13
2018-07-01 00:00:00,1,31
2018-02-01 00:00:00,1,22
2017-06-01 00:00:00,1,15
2017-02-01 00:00:00,1,3
2017-08-01 00:00:00,6,12
2017-10-01 00:00:00,9,8
2017-07-01 00:00:00,8,7
2016-10-01 00:00:00,6,1
2017-08-01 00:00:00,3,11
2018-03-01 00:00:00,2,20
2017-07-01 00:00:00,13,9
2017-09-01 00:00:00,5,9
2017-10-01 00:00:00,5,9
2017-03-01 00:00:00,5,4
2017-04-01 00:00:00,7,7
2018-04-01 00:00:00,4,9
2017-05-01 00:00:00,14,6
2017-05-01 00:00:00,5,11
